token,sources,scenes,failure_groups,selection_priority_score,recommended_role,phog_error_m,lsd_error_m,oracle_top50_error_m,anchor_top1_error_m,best_any_stream_error_m,best_stream
176,s7b4,mixed_urban_natural,anchor_success,0,supporting_failure_case,,,,20.76034858022308,20.76034858022308,center
181,s7b4,mixed_urban_natural,anchor_success,0,supporting_failure_case,,,,17.488963617003776,17.488963617003776,center
186,s7b4,mixed_urban_natural,anchor_success,0,supporting_failure_case,,,,43.544502643213285,13.738835219851254,center
191,s7b4,mixed_urban_natural,anchor_success,0,supporting_failure_case,,,,38.19346398062769,11.81719138527214,center
196,s7b4,mixed_urban_natural,anchor_success,0,supporting_failure_case,,,,21.724994556056032,20.460989489467,center
201,s7b4,mixed_urban_natural,anchor_success,0,supporting_failure_case,,,,11.849489574332788,11.849489574332788,center
206,s7b4,mixed_urban_natural,anchor_success,0,supporting_failure_case,,,,12.872010954436028,12.872010954436028,center
211,s7b4,mixed_urban_natural,anchor_success,0,supporting_failure_case,,,,18.47616017754608,18.47616017754608,center
216,s7b4,mixed_urban_natural,anchor_success,0,supporting_failure_case,,,,15.115565045659066,15.115565045659066,center
221,s7b4,mixed_urban_natural,anchor_success,0,supporting_failure_case,,,,56.81676185768065,13.580942116600443,center
226,s7b4,mixed_urban_natural,anchor_success,0,supporting_failure_case,,,,1678.9722758552762,13.973165947584768,center
231,s7b4,mixed_urban_natural,anchor_success,0,supporting_failure_case,,,,1627.743244783955,13.799927385260265,center
236,s7b4,mixed_urban_natural,anchor_success,0,supporting_failure_case,,,,317.5159992014917,5.271813032039927,center
241,s7b4,mixed_urban_natural,anchor_success,0,supporting_failure_case,,,,395.80365169235193,10.67818539542328,center
246,s7b4,mixed_urban_natural,anchor_success,0,supporting_failure_case,,,,33.330891866556286,9.072375143845315,center
261,s7b4,mixed_urban_natural,anchor_success,0,supporting_failure_case,,,,154.09352820705627,31.848055452260965,center
266,s7b4,mixed_urban_natural,anchor_success,0,supporting_failure_case,,,,139.35118475730613,8.731840272672745,center
276,"s4c6,s7b4",mixed_urban_natural,"anchor_success,selection_failure_correct_in_pool",0,supporting_failure_case,595.6549828821225,1607.5899516328188,2.0813950320417844,667.3772732806058,2.081397906987045,center
286,s7b4,mixed_urban_natural,anchor_success,0,supporting_failure_case,,,,668.6906048801119,38.94744713639636,center
291,s7b4,mixed_urban_natural,anchor_success,0,supporting_failure_case,,,,996.4754151598024,26.017675096954143,center
296,s7b4,mixed_urban_natural,anchor_success,0,supporting_failure_case,,,,851.832205059896,32.103976275786486,center
301,s7b4,mixed_urban_natural,anchor_success,0,supporting_failure_case,,,,857.7304584139547,15.625142778391265,center
306,s7b4,forest_canopy,anchor_success,0,supporting_failure_case,,,,24.63321715326557,12.28034920000559,center
311,s7b4,forest_canopy,anchor_success,0,supporting_failure_case,,,,28.35076310615856,7.139590752604365,center
316,s7b4,forest_canopy,anchor_success,0,supporting_failure_case,,,,921.5157897564384,18.6166103065612,center
321,s7b4,forest_canopy,anchor_success,0,supporting_failure_case,,,,944.6078531128308,8.451162504419017,center
331,s7b4,forest_canopy,anchor_success,0,supporting_failure_case,,,,12.973010594695568,12.973010594695568,center
341,s7b4,forest_canopy,anchor_success,0,supporting_failure_case,,,,1087.5256086015136,14.551322999271251,center
346,s7b4,forest_canopy,anchor_success,0,supporting_failure_case,,,,683.908777627287,16.38472430732366,center
351,s7b4,forest_canopy,anchor_success,0,supporting_failure_case,,,,1192.8828584669009,22.40584895062162,center
356,s7b4,forest_canopy,anchor_success,0,supporting_failure_case,,,,1202.2764759656743,15.644144729183104,center
361,s7b4,forest_canopy,anchor_success,0,supporting_failure_case,,,,33.43295828754151,14.7432521594046,center
371,s7b4,forest_canopy,anchor_success,0,supporting_failure_case,,,,1342.3242399395465,17.646725210235402,center
376,s7b4,forest_canopy,anchor_success,0,supporting_failure_case,,,,1157.6995128113167,12.808013436850455,center
381,s7b4,forest_canopy,anchor_success,0,supporting_failure_case,,,,12.86407045597632,12.86407045597632,center
411,s7b4,forest_canopy,anchor_success,0,supporting_failure_case,,,,87.15477715797378,9.07977077931199,resize
416,s7b4,forest_canopy,anchor_success,0,supporting_failure_case,,,,30.30617236171556,9.291432496022136,center
426,s7b4,forest_canopy,anchor_success,0,supporting_failure_case,,,,623.1451745864985,39.00396408425671,center
431,s7b4,forest_canopy,anchor_success,0,supporting_failure_case,,,,560.8892433267262,9.59373401399508,center
436,s7b4,forest_canopy,anchor_success,0,supporting_failure_case,,,,551.2414417116823,18.284220681469424,resize
441,s7b4,forest_canopy,anchor_success,0,supporting_failure_case,,,,481.9429394210511,8.745462598836982,center
446,s7b4,forest_canopy,anchor_success,0,supporting_failure_case,,,,452.9819113888986,6.058221583632133,center
451,s7b4,forest_canopy,anchor_success,0,supporting_failure_case,,,,357.34358985119854,12.54996972062168,center
456,s7b4,forest_canopy,anchor_success,0,supporting_failure_case,,,,34.1754381751757,10.960824318770378,center
466,s7b4,forest_canopy,anchor_success,0,supporting_failure_case,,,,87.33962320810502,27.72032849455015,center
471,s7b4,forest_canopy,anchor_success,0,supporting_failure_case,,,,62.97937039908961,8.585134955986748,center
476,s7b4,forest_canopy,anchor_success,0,supporting_failure_case,,,,65.3072777942977,16.63336230920177,resize
481,s7b4,forest_canopy,anchor_success,0,supporting_failure_case,,,,31.276269938933257,12.454954732670435,center
486,s7b4,forest_canopy,anchor_success,0,supporting_failure_case,,,,47.24101586300556,29.973850969642776,center
491,s7b4,forest_canopy,anchor_success,0,supporting_failure_case,,,,40.88321419810784,27.682705772755376,center
494,"s4c6,s7b4",forest_canopy,"anchor_success,lsd_destroyed_phog_success",0,supporting_failure_case,28.82899963966286,2031.4437514184715,28.82899963966286,395.5567708903884,7.587440325083261,center
496,s7b4,forest_canopy,anchor_success,0,supporting_failure_case,,,,212.08748802987665,17.74059940497522,center
501,s7b4,forest_canopy,anchor_success,0,supporting_failure_case,,,,66.57823327982736,8.677938848938416,center
506,s7b4,urban,anchor_success,0,supporting_failure_case,,,,44.992358601928416,4.475975620298918,center
511,s7b4,urban,anchor_success,0,supporting_failure_case,,,,12.65272380408526,12.65272380408526,center
516,"s4c6,s7b4",urban,"anchor_success,stable_success",0,supporting_failure_case,11.41069826575302,11.41069826575302,11.41069826575302,39.327497683707165,11.410714026880578,center
521,s7b4,urban,anchor_success,0,supporting_failure_case,,,,49.01362132666815,4.158574158711404,center
526,s7b4,urban,anchor_success,0,supporting_failure_case,,,,37.09733974035884,16.9289794464646,center
531,s7b4,urban,anchor_success,0,supporting_failure_case,,,,81.10013667756749,33.65907745778748,center
541,s7b4,urban,anchor_success,0,supporting_failure_case,,,,1476.3245703117452,17.303643592621164,center
546,"s4c6,s7b4",urban,"anchor_success,selection_failure_correct_in_pool",0,supporting_failure_case,170.55953629253642,205.4692727167489,4.344291767632046,4.3442977682233685,4.3442977682233685,center
551,s7b4,urban,anchor_success,0,supporting_failure_case,,,,19.29197274888629,17.80431127352059,center
556,s7b4,urban,anchor_success,0,supporting_failure_case,,,,28.765284422622624,7.233960447605734,center
561,s7b4,urban,anchor_success,0,supporting_failure_case,,,,238.2419937081548,7.008818015506182,center
564,"s4c6,s7b4",urban,"anchor_success,weak_pool_near_candidate",0,supporting_failure_case,1606.1345610612675,588.5735803701591,78.62824428411253,38.75686511626368,7.008818015506182,center
566,s7b4,urban,anchor_success,0,supporting_failure_case,,,,1427.040007261071,6.715924060348221,center
571,s7b4,urban,anchor_success,0,supporting_failure_case,,,,1426.1765288678343,18.08342584448459,center
576,s7b4,urban,anchor_success,0,supporting_failure_case,,,,1775.4921683932398,15.86072019105726,center
586,s7b4,urban,anchor_success,0,supporting_failure_case,,,,1836.994047556937,13.622300353880243,center
596,s7b4,urban,anchor_success,0,supporting_failure_case,,,,1935.641098647768,18.894663791575667,center
661,s7b4,water_wetland,anchor_success,0,supporting_failure_case,,,,1764.4048028564937,11.73452578893064,center
